Temática,Título,Respuesta
¿Cómo puedo cambiar el nombre comercial de mi empresa?,Mi Cuenta (Perfil Empresarial),no
¿Dónde actualizo la dirección de las oficinas principales?,Mi Cuenta (Perfil Empresarial),no
¿Puedo modificar el RFC de mi empresa una vez registrado?,Mi Cuenta (Perfil Empresarial),no
¿Cómo subo un nuevo comprobante de situación fiscal?,Mi Cuenta (Perfil Empresarial),no
¿Hay un límite de caracteres para la descripción de la empresa?,Mi Cuenta (Perfil Empresarial),La descripción de la empresa no puede exceder los 100 caracteres.
¿Por qué no puedo editar algunos campos del perfil?,Mi Cuenta (Perfil Empresarial),"Algunos datos son cruciales dentro de nuestro sistema, la mayoría de estos suelen ser datos que no cambian.
Sugerimos que antes de cualquier registro de datos verifique si estos son correctos."
¿Cómo cambio la imagen o logo de mi empresa?,Mi Cuenta (Perfil Empresarial),no
¿Qué hago si cometí un error al ingresar la razón social?,Mi Cuenta (Perfil Empresarial),"Si cometiste un error al ingresar la razón social, la opción sugerida es eliminar la cuenta y volver a crear una con los datos correctos."
¿Es obligatorio llenar todos los campos del perfil empresarial?,Mi Cuenta (Perfil Empresarial),"Sí, es obligatorio. Completar todos los campos permite que los usuarios de CargaLink puedan acceder a la información relevante de la empresa en la que el usuario está interesado."
¿Con qué frecuencia debo actualizar la información de mi cuenta?,Mi Cuenta (Perfil Empresarial),Debe actualizar la información de su cuenta y de su empresa siempre que se produzcan cambios relevantes en dichos datos.
¿Cómo agrego múltiples direcciones para mi empresa?,Mi Cuenta (Perfil Empresarial),"Si su cuenta está registrada como representante de una empresa de autotransporte, podrá agregar tantas sedes como sea necesario. En caso contrario, le recomendamos registrar la dirección de su sede principal. Es importante destacar que esta información no afecta el proceso de entrega de cargas. Al publicar una oferta, podrá seleccionar la dirección de entrega correspondiente."
¿Puedo tener más de un perfil empresarial en la misma cuenta?,Mi Cuenta (Perfil Empresarial),"No, CargaLink permite únicamente un perfil empresarial por cuenta. Sin embargo, si es representante de una empresa de autotransporte, tiene la opción de registrar a sus transportistas."
